company,year,month,monthly_pct_change
QCOM,2019,11,-2.11
QCOM,2019,12,3.88
QCOM,2020,1,3.75
QCOM,2020,2,-12.67
QCOM,2020,3,-5.86
QCOM,2020,4,-0.20
QCOM,2020,5,1.57
QCOM,2020,6,23.06
QCOM,2020,7,6.13
QCOM,2020,8,15.46
QCOM,2020,9,1.88
QCOM,2020,10,14.04
QCOM,2020,11,3.55
QCOM,2020,12,16.13
QCOM,2021,1,-9.43
QCOM,2021,2,-7.11
QCOM,2021,3,8.28
QCOM,2021,4,-4.16
QCOM,2021,5,-8.64
QCOM,2021,6,13.03
QCOM,2021,7,0.12
QCOM,2021,8,7.19
QCOM,2021,9,-9.82
QCOM,2021,10,-5.89
QCOM,2021,11,30.14
QCOM,2021,12,12.78
QCOM,2022,1,-11.29
QCOM,2022,2,-7.22
QCOM,2022,3,8.89
QCOM,2022,4,-21.89
QCOM,2022,5,2.67
QCOM,2022,6,-3.79
QCOM,2022,7,2.66
QCOM,2022,8,18.03
QCOM,2022,9,-21.70
QCOM,2022,10,-6.97
QCOM,2022,11,2.11
QCOM,2022,12,-1.51
QCOM,2023,1,-0.25
QCOM,2023,2,1.09
QCOM,2023,3,13.18
QCOM,2023,4,-18.75
QCOM,2023,5,4.41
QCOM,2023,6,4.73
QCOM,2023,7,-52.09
SBUX,2013,7,NULL
SBUX,2013,8,126.66
SBUX,2013,9,-5.06
SBUX,2013,10,20.00
SBUX,2013,11,-10.20
SBUX,2013,12,1.58
SBUX,2014,1,-4.10
SBUX,2014,2,-12.39
SBUX,2014,3,12.60
SBUX,2014,4,-4.07
SBUX,2014,5,0.12
SBUX,2014,6,6.56
SBUX,2014,7,8.65
SBUX,2014,8,-5.90
SBUX,2014,9,-2.03
SBUX,2014,10,7.81
SBUX,2014,11,-13.49
SBUX,2014,12,20.64
SBUX,2015,1,-7.47
SBUX,2015,2,4.77
SBUX,2015,3,19.71
SBUX,2015,4,-1.99
SBUX,2015,5,-0.90
SBUX,2015,6,15.23
SBUX,2015,7,5.38
SBUX,2015,8,-4.14
SBUX,2015,9,0.38
SBUX,2015,10,12.76
SBUX,2015,11,-7.33
SBUX,2015,12,7.88
